id,title,authors_abbrev,year,venue,abstract,doi_link,filter1,filter2,filter3,filter4,filter5,filter6,filter7,filter8,Uncleaned Tags,Canon Tags,info2,info3
1,Socially shared regulation of learning in CSCL: understanding and prompting individual- and group-level shared regulatory activities,Sanna Järvelä & Allyson F. Hadwin,2016,International Journal of Computer-Supported Collaborative Learning,"The field of computer supported collaborative learning (CSCL) is progressing instrumentally and theoretically. Nevertheless, few studies examine the effectiveness and efficiency of CSCL with respect to cognitive, motivational, emotional, and social issues, despite the fact that the role of regulatory processes is critical for the quality of students' engagement in collaborative learning settings. We review the four earlier lines in developing support in CSCL and show how there has been a lack of work to support individuals in groups to engage in, sustain, and productively regulate their own and the group's collaborative processes. Our aim is to discuss how our conceptual work in socially shared regulation of learning (SSRL) contributes to effective and efficient CSCL, what tools are presently available, and what the implications of research on these tools are for future tool development.",https://link.springer.com/article/10.1007/s11412-016-9238-2,"Self-regulated learning, ",,,,,,,,,,,
2,Socially Shared Regulation in Collaborative Groups: An Analysis of the Interplay Between Quality of Social Regulation and Group Processes,Toni Kempler Rogat & Lisa Linnenbrink-Garcia,2011,Cognition and Instruction,"This study extends prior research on both individual self-regulation and socially shared regulation during group learning to examine the range and quality of the cognitive and behavioral social regulatory sub-processes employed by six small collaborative groups of upper-elementary students (n = 24). Qualitative analyses were conducted based on videotaped observations of groups across a series of three mathematics tasks. Variation in the quality of social regulation as a function of group processes (positive and negative socioemotional interactions, collaborative and non-collaborative interactions) was also considered. Findings suggested that the synergy among the social regulatory processes of planning, monitoring, and behavioral engagement was important for differentiating quality variation between groups. Positive socioemotional interactions and collaboration also appeared to facilitate higher quality social regulation. Implications for comprehensively supporting high quality social regulation, alongside positive socioemotional interactions and collaboration, in small group contexts are discussed.", https://doi.org/10.1080/07370008.2011.607930,socially shared regulation,,,,,,,,,,,
3,A Cognitive and Metacognitive Analysis of Self-Regulated Learning,Winne,2011,Handbook of Self-Regulation of Learning and Performance,"The mind is a storehouse for knowledge. The world affords people uncountable opportunities to learn many things but not all opportunities are taken up-people are selective-they self-regulate learning. To examine how people self-regulate what and how they learn, I rst present several core ideas.

",https://www.taylorfrancis.com/chapters/edit/10.4324/9780203839010-6/cognitive-metacognitive-analysis-self-regulated-learning-philip-winne?context=ubx&refId=f427e33c-dd3f-49f4-87fc-757b4d60972b,"self-regulated learning, cognitive, metacognitive",,,,,,,,,,,
4,"Motivational Sources and Outcomes of Self-Regulated Learning and Performance
",Zimmerman,2011,Handbook of Self-Regulation of Learning and Performance,"The topic of self-regulation of learning has attracted the attention of diverse audiences because of widespread concerns about students’ daily struggles to attain academic competence and control. Underachievement in school has often been ascribed to a lack of self-regulation, and there is evidence that procrastination leads to low levels of learning and performance and to high levels of dissatisfaction and stress (Schmitz & Wiese, 2006). However, self-regulation has proven to be an elusive construct. Although teachers and parents typically view students’ self-regulation of learning (SRL) as an ability to function academically on their own, researchers seek also to understand where, how, and why some students self-regulate and others do not. The where question deals with the performance and task context whereas the how question deals with the metacognitive aspects of SRL. The why question focuses on the motivational aspects of selfregulation, and it is the focus of this chapter.

",https://www.taylorfrancis.com/chapters/edit/10.4324/9780203839010-8/motivational-sources-outcomes-self-regulated-learning-performance-barry-zimmerman?context=ubx&refId=7e946598-da90-4da8-b466-517c662c1481,"Motivation, self-regulated learning, metacognition",,,,,,,,,,,
5,New Frontiers: Regulating Learning in CSCL,Sanna Järvelä & Allyson F. Hadwin,2013,Educational Psychologist,"Despite intensive research in computer-supported collaborative learning (CSCL) over the last decade, there is relatively little research about how groups and individuals in groups engage, sustain, support, and productively regulate collaborative processes. This article examines the role of regulatory processes in collaborative learning and how CSCL environments can be used for shared regulation of learning. First, we establish the importance of regulation processes and introduce three types of regulation contributing to successful collaboration: self-, co-, and socially shared regulation of learning. Second, we illuminate two strands of seemingly diverse research that lay an important foundation for supporting and researching regulation in CSCL contexts establishing that (a) computer-based pedagogical tools used to successfully support regulation in individual learning contexts can be leveraged for collaborative task contexts, and (b) computer-based tools for supporting collaborative knowledge construction can be leveraged for supporting regulatory processes. Finally, we draw on emerging research in our own programs of research to demonstrate how regulation can be supported and researched in CSCL environments. The article concludes by charting a course for future CSCL research in CSCL environments. The article concludes by charting a course for future CSCL research。",https://doi.org/10.1080/00461520.2012.748006,"regulation, CSCL",,,,,,,,,,,
6,"Self-regulated, co-regulated, and socially shared regulation of learning","Allyson Fiona Hadwin, Sanna Järvelä & Mariel Miller",2011,Handbook of self-regulation of learning and performance,"Contemporary perspectives of learning emphasize that learners actively engage in learning by constructing meaning and reshaping understandings (Brown & Campione, 1996; Bruning, Schraw, & Ronning, 1999). Historically, models have portrayed self-regulated learning (SRL) as an individual, cognitive-constructive activity (e.g., Winne, 1997; Zimmerman, 1989) focusing on individual differences associated with SRL including self-efficacy, metacognition, goal setting, and achievement.The reciprocal role of social context/environment has always been considered to play an important role in self-regulated learning (e.g., Schunk & Zimmerman, 1997)). However, emerging perspectives of regulation in learning have moved beyond positioning social context as a component in the triadic process of self-regulation and towards social as one of the core mechanisms in learning in general and regulated learning in particular. Consequently a range of models of regulated learning have emerged. These models move along a continuum from more individual constructivist perspectives to more social constructionist perspectives of learning (Meyer & Turner, 2002).",https://www.researchgate.net/profile/Allyson-Hadwin/publication/281331977_Self-regulated_co-regulated_and_socially_share_regulation_of_learning/links/691f5cf1ba4fcf00661b250a/Self-regulated-co-regulated-and-socially-share-regulation-of-learning.pdf,"self-regulated, co-regulated, socially shared regulation",,,,,,,,,,,
7,"SELF-REGULATION, CO-REGULATION, AND SHARED REGULATION IN COLLABORATIVE LEARNING ENVIRONMENTS","Allyson Hadwin, Sanna Järvelä, and Mariel Miller",2017,Handbook of self-regulation of learning and performance,"Early socio-cognitive conceptions of self-regulated learning (SRL) emphasized individual, cognitive-constructive aspects involved in cognition, behavior, and motivation, as well as social context as a component in the triadic process of self-regulation (Schunk & Zimmerman, 1997; Zimmerman, 1989). More recently, situated perspectives of learning have extended theories and models of self-regulation to highly interactive and dynamic learning situations where shared knowledge construction and collaboration emerge. Self-regulated learning became a cornerstone for exploring more social forms of regulation such as co-regulation and shared regulation.",https://www.taylorfrancis.com/reader/download/b278cadb-f934-4b5d-bcdc-41e3a3121d9b/chapter/pdf?context=ubx,"self-regulation, co-regulation, shared regulation, collaborative learning environments",,,,,,,,,,,
8,Regulation of collaboration in project-based learning mediated by CSCL scripting reflection,"Jin Michael Splichal, Jun Oshima , Ritsuko Oshima",2018,Computers & Education,"Many studies attempt to effectively support student regulation of collaboration using CSCL tools to enrich learning outcomes. However, few studies are aimed at facilitating development of students' internal scripts for regulation of collaboration. This study focuses on developing and evaluating a computer-mediated learning environment for project-based learning to facilitate student internal scripts for regulation by designing external scripts for effective reflection. Fortyeight first-year university students participated in this study as part of their curriculum. Our analyses of their internal scripts before and after PBL participation revealed that significantly more students who encountered an unfamiliar situation during collaboration constructed new regulation scripts. Moreover, in case studies, we found that students augmented their scripts for socially shared regulation when recognizing socio-cognitive challenges, whereas they augmented co-regulation and self-regulation scripts when recognizing socio-emotional challenges.",10.1016/j.compedu.2018.06.003,"regulation， collaboration, project-based learning, CSCL, scripts",,,,,,,,,,,
9,Other-regulation in collaborative groups: implications for regulation quality,Toni Kempler Rogat • Karlyn R. Adams-Wiggins,2014,Instructional Science,"The current study examines variation in other-regulation, conceptualized as efforts by one student to regulate their group’s work. This study extends research which has conceptualized other-regulation as temporarily guiding others’ conceptual understanding and skill development by broadening the spectrum of other-regulation to include directive forms and considering their differential impact on regulation quality. Qualitative analyses were conducted based on videotaped observations of three groups of 7th graders working on three collaborative activities during an inquiry-based science unit. Findings suggest that directive other-regulation related to employed moderate-low and low quality regulation within the group. Facilitative forms yielded higher quality regulation given coequal regulation and task contributions, the focus of the other-regulator on integrating ideas using behavioral and group process regulation, as well as sustaining a shared focus on developing the task product through the use of high-quality content and disciplinary regulation. In contrast, directive other-regulation related to an imbalance in participation and regulatory contributions, as well as the other-regulators’ focus on controlling the task and ensuring their own contribution remained central to the task product. When group members do not have opportunities to make regulatory contributions, regulation and task quality suffer since the group cannot benefit from the full potential of their shared activity, with implications for learning.",https://doi.org/10.1007/s11251-014-9322-9,"other regulation, collaborative groups, regulation quality",,,,,,,,,,,
10,High-level co-regulation in collaborative learning: How does it emerge and how is it sustained?,"Simone Volet, Mark Summers, Joanne Thurman",2009,Learning and Instruction,This article examines the nature and process of collaborative learning in student-led group activities at university. A situative framework combining the constructs of social regulation and content processing was developed to identify instances of productive high-level co-regulation. Data involves video footage of groups of science students working on a case-based project. Striking group differences in types of interactions were revealed. Regularities in the emergence of high-level co-regulation and features of interactions that contributed to the maintenance of productive collaboration were also identified. The importance of fostering students’ development as co-learners is highlighted.,https://doi.org/10.1016/j.learninstruc.2008.03.001,"co-regulation, collaborative learning",,,,,,,,,,,
